0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,126.128775,-48.688414,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,126.128775,-48.688414,12.612878,-4.868841
-0.000451,-0.000009,-0.000226,-0.000027,-0.002769,0.000188,-0.004514,-0.000094,-0.002257,-0.000271,-0.027695,0.001881,126.128775,-48.688414,23.964467,-9.250799
-0.000459,-0.000054,-0.000012,-0.000132,-0.006736,0.001034,-0.000072,-0.000448,0.002136,-0.001028,-0.039663,0.008455,126.128775,-48.688414,34.180898,-13.194560
0.000925,-0.000172,0.000877,-0.000349,-0.010656,0.003158,0.013902,-0.001196,0.008793,-0.002021,-0.039204,0.021238,126.128775,-48.688414,43.375686,-16.743946
0.004447,-0.000405,0.002108,-0.000669,-0.014420,0.007217,0.035342,-0.002438,0.011932,-0.002773,-0.037652,0.040578,126.128775,-48.688414,51.650995,-19.938392
0.010825,-0.000779,0.003285,-0.001047,-0.018134,0.013787,0.063908,-0.004214,0.010853,-0.002827,-0.037188,0.065661,126.128775,-48.688414,59.098773,-22.813395
0.020803,-0.001290,0.004251,-0.001412,-0.021700,0.023251,0.099860,-0.006496,0.007840,-0.001936,-0.035758,0.094590,126.128775,-48.688414,65.801773,-25.400896
0.035079,-0.001879,0.005041,-0.001699,-0.024990,0.035737,0.142724,-0.009211,0.004795,-0.000163,-0.033076,0.124781,126.128775,-48.688414,71.834473,-27.729648
0.054244,-0.002422,0.005751,-0.001870,-0.028019,0.051115,0.191457,-0.012277,0.002293,0.002131,-0.030552,0.153685,126.128775,-48.688414,77.263903,-29.825525
0.078786,-0.002733,0.006457,-0.001934,-0.030904,0.069079,0.245039,-0.015649,0.000170,0.004402,-0.029181,0.179516,126.128775,-48.688414,82.150391,-31.711814
0.109106,-0.002575,0.007207,-0.001942,-0.033752,0.089251,0.302670,-0.019348,-0.001891,0.006149,-0.028876,0.201565,126.128775,-48.688414,86.548229,-33.409474
0.145528,-0.001673,0.008022,-0.001971,-0.036616,0.111268,0.363640,-0.023464,-0.004174,0.007136,-0.029069,0.219993,126.128775,-48.688414,90.506284,-34.937368
0.188294,0.000274,0.008901,-0.002086,-0.039502,0.134827,0.427219,-0.028130,-0.006902,0.007482,-0.029320,0.235374,126.128775,-48.688414,94.068533,-36.312472
0.237564,0.003576,0.009834,-0.002312,-0.042395,0.159686,0.492645,-0.033488,-0.010209,0.007552,-0.029451,0.248331,126.128775,-48.688414,97.274557,-37.550066
